,repository_name,language
0,.github,
1,app-store-server-library-java,Java
2,app-store-server-library-node,TypeScript
3,app-store-server-library-python,Python
4,app-store-server-library-swift,Swift
5,apple-llvm-infrastructure-tools,C++
6,apple_rules_lint,Starlark
7,ARKitScenes,Python
8,AudioUnit-Examples,Swift
9,AudioUnitSDK,C++
10,axlearn,Python
11,batch-processing-gateway,Java
12,ccs-caldavclientlibrary,HTML
13,ccs-caldavtester,Python
14,ccs-calendarserver,Python
15,ccs-pycalendar,Python
16,ccs-pykerberos,C
17,ccs-pyopendirectory,C++
18,ccs-pyosxframeworks,Python
19,ccs-pysecuretransport,Python
20,ccs-twistedextensions,Python
21,container,Swift
22,container-builder-shim,Go
23,containerization,Swift
24,coremltools,Python
25,corenet,Jupyter Notebook
26,cups,C
27,darwin-libplatform,C
28,darwin-libpthread,C
29,darwin-xnu,C
30,device-management,
31,dmel,Python
32,dmel-demo,HTML
33,dnikit,Python
34,eidas,Go
35,embedding-atlas,TypeScript
36,example-package-fisheryates,Swift
37,FHIRModels,Swift
38,foundationdb,C++
39,fstools,C
40,game-center-tools,Python
41,GCGC,Jupyter Notebook
42,homebrew-apple,Ruby
43,HomeKitADK,C
44,learning-compressible-subspaces,Python
45,learning-subspaces,Python
46,llvm-monorepo-root,
47,llvm-project-v5,C++
48,llvm-project-v5-split,C++
49,ml-4m,Python
50,ml-acn-embed,Python
51,ml-act,Python
52,ml-ademamix,Python
53,ml-afv,Python
54,ml-agm,Python
55,ml-aim,Python
56,ml-all-pairs,Python
57,ml-ane-transformers,Python
58,ml-aspanformer,Python
59,ml-aura,Python
60,ml-autofocusformer,Python
61,ml-autofocusformer-segmentation,Python
62,ml-batchquant,Python
63,ml-behavioral-testing-for-mt,
64,ml-bilevel-train-dist,Python
65,ml-bloop,Python
66,ml-calibration,Jupyter Notebook
67,ml-capsules-inverted-attention-routing,Python
68,ml-cifar-10-faster,Python
69,ml-code-switched-speech-translation,Python
70,ml-codeswitching-translations,
71,ml-collegial-ensembles,Python
72,ml-comotion,Python
73,ml-compress-and-compare,Python
74,ml-core,Python
75,ml-covid-mobility,R
76,ml-cread,Python
77,ml-cross-entropy,Python
78,ml-cubifyanything,Python
79,ml-cvnets,Python
80,ml-cvpr2019-swd,Python
81,ml-dab,Python
82,ml-data-parameters,Python
83,ml-dataset-decomposition,Python
84,ml-delphi,
85,ml-depth-pro,Python
86,ml-destseg,Python
87,ml-diffucoder,Python
88,ml-diffusion-alignment-gflownet,Python
89,ml-direct2.5,Python
90,ml-divide-or-conquer,Python
91,ml-dms-dataset,Python
92,ml-dprecs,Jupyter Notebook
93,ml-dr,Python
94,ml-duet,Python
95,ml-entity-deduction-arena,Python
96,ml-entropy-reconstruction,Python
97,ml-envmapnet,Python
98,ml-equivariant-neural-rendering,Jupyter Notebook
99,ml-facelit,Python
100,ml-famae,Python
101,ml-fastvit,Python
102,ml-fastvlm,Python
103,ml-fct,Python
104,ml-ferret,Python
105,ml-finerecon,Python
106,ml-flair,Jupyter Notebook
107,ml-flextok,Jupyter Notebook
108,ml-gaudi,
109,ml-gbc,Python
110,ml-gendered-translation,Ruby
111,ml-gmpi,Python
112,ml-gsm-symbolic,
113,ml-gsn,Python
114,ml-hd-gist,Python
115,ml-heart-rate-models,Python
116,ml-hierarchical-confusion-matrix,TypeScript
117,ml-hugs,Python
118,ml-hypercloning,Python
119,ml-hypersim,Python
120,ml-interactive-data-augmentation,Svelte
121,ml-internal-llms-instruction-following,Python
122,ml-interspeech2022-phi_rtn,
123,ml-isqoe,Python
124,ml-jointnet,Python
125,ml-key-retrieval-code-tasks,Python
126,ml-keyframer,JavaScript
127,ml-kg-mt,Python
128,ml-kge,Python
129,ml-knowledge-conflicts,Python
130,ml-kpconvx,Python
131,ml-live-pose,
132,ml-llarp,Python
133,ml-lucid-datagen,Python
134,ml-mad-bench,Jupyter Notebook
135,ml-matrix3d,Python
136,ml-mcf,Python
137,ml-mdm,Python
138,ml-mgie,Python
139,ml-mia-bench,Jupyter Notebook
140,ml-MixupMP,Python
141,ml-mkqa,Python
142,ml-mobileclip,Python
143,ml-mobileone,Swift
144,ml-mofi,Python
145,ml-multiple-futures-prediction,Python
146,ml-mycelium,JavaScript
147,ml-ncg,Python
148,ml-negative-sampling,Python
149,ml-neilf,Python
150,ml-neilfpp,Python
151,ml-neuman,Python
152,ml-no-token-left-behind,Jupyter Notebook
153,ml-np-rasp,Python
154,ml-nvas3d,Python
155,ml-ogen,Python
156,ml-pgdvs,Python
157,ml-planner,Python
158,ml-pointconvformer,Python
159,ml-pointersect,Python
160,ml-predict,Python
161,ml-probabilistic-attention,Python
162,ml-projunit,Python
163,ml-qrecc,Python
164,ml-quant,Python
165,ml-recurrent-drafter,Python
166,ml-reed,Python
167,ml-reversal-blessing,Python
168,ml-rlgrad,Python
169,ml-robust-expert-augmentations,Python
170,ml-rpm-bench,Python
171,ml-sad,Python
172,ml-sage-dialog-gen,Python
173,ml-sampleplan,Python
174,ml-selfcond,Python
175,ml-selfreflect,Python
176,ml-shuffling-amplification,Python
177,ml-sigma-reparam,Python
178,ml-sigmoid-attention,Python
179,ml-slowfast-llava,Python
180,ml-space-benchmark,Python
181,ml-spatial-librispeech,
182,ml-speech-is-more-than-words,
183,ml-spin,Python
184,ml-stable-diffusion,Python
185,ml-stabledreamer,
186,ml-stuttering-events-dataset,Python
